word	part_of_speech	category
lech	n	"""L-"" Words"
bather	n	Hygiene, Health, and Bodily Functions
aqua	n	Temperature and Heat-Related Terms
gone	a	Actions and Roles
scout	n,v	Words Related to Shapes and Textures
nevus	n	Nouns and Actions
xlvii	a	Numerals and Mathematical Terms
prang	n,v	"""P-"" Words"
spumy	a	Negative and Disturbing Adjectives
gauzy	a	"Words starting with ""G"""
artery	n	Anatomical and Biological Terms
pig	n,v	"""P-"" Words"
liman	n	"""L-"" Words"
concha	n	"""C-"" Words and Items"
brown	a,n,v	Lights, Colors, and Visibility
chorus	n,v	Actions and Descriptions
pine	n,v	"""P-"" Words"
demist	v	Negative and Disturbing Adjectives
fusty	a	Negative and Disturbing Adjectives
toddy	n	"""T-"" Words and Pairs"
junto	n	Actions and Roles
peony	n	"""P-"" Words"
danger	n	Negative and Disturbing Adjectives
runch	n	"""R-"" Words and Rotational Movements"
buzz	n,v	Gender, Family and Greetings
weave	n,v	Clothing, Materials and Dressing Actions
carpus	n	Body Parts and Related Terms
aweigh	a	Weight, Strength, and Body Descriptors
enjoy	v	Praise and Positivity
rig	n,v	"""R-"" Words and Rotational Movements"
dame	n	Occupations and Personal Descriptors
curlew	n	Animals and Animal-Related Terms
jak	n	Actions and Roles
ego	n	"Starting with ""A"" or ""E"""
wizard	a,n	Actions and Descriptions
ump	n	"""P-"" Words"
sestet	n	Numerals and Mathematical Terms
leaver	n	Modes of Transportation and Travel
mottle	n,v	Words Related to Shapes and Textures
frisk	n,v	Negative and Disturbing Adjectives
pagoda	n	Places and Spaces
ragbag	n	"""B-"" Words and Objects"
memoir	n	"""M-"" Words"
arrow	n	"Starting with ""A"" or ""E"""
guinea	n	Animals and Animal-Related Terms
bulge	n,v	Lights, Colors, and Visibility
two	a,n	Numerals and Mathematical Terms
median	a,n	"""M-"" Words"
placid	a	Personal Characteristics and Behaviors
gate	n,v	Places and Spaces
magpie	n	Animals and Animal-Related Terms
tied	a	Binding, Restraining and Undoing
freak	n,v	Negative and Disturbing Adjectives
angle	n,v	"Starting with ""A"" or ""E"""
card	n,v	"""C-"" Words and Items"
hip	a,n	"""H-"" Words"
puny	a	Personal Characteristics and Behaviors
dusk	n,v	Lights, Colors, and Visibility
fumed	a	Food, Cooking, and Ingredients
vendor	n	Economic and Trade Terms
salat	n	Islamic and Middle Eastern Terms
detest	v	Verbs and Actions
ague	n	Actions and Roles
pommel	n,v	Actions and Descriptions
honour	n,v	Praise and Positivity
fifty	a,n	Numerals and Mathematical Terms
serif	n	"""S-"" Words"
poser	n	Actions and Roles
jabber	n,v	"Words starting with ""G"""
padre	n	Gender, Family and Greetings
chinos	n	Actions and Descriptions
tiler	n	Actions and Roles
lively	a	Fast-Paced and Intense Activities and States
voyage	n,v	Modes of Transportation and Travel
glamor	n	Lights, Colors, and Visibility
riled	a	Verbs and Actions
unison	n	Actions and Roles
quat	n	Actions and Descriptions
purdah	n	Clothing, Materials and Dressing Actions
medium	a,n	"""M-"" Words"
hudood	n	Islamic and Middle Eastern Terms
ult	a	Actions and Roles
enrage	v	Verbs and Actions
shoe	n,v	Body Parts and Related Terms
butch	a,n	"""B-"" Words and Objects"
smear	n,v	Negative and Disturbing Adjectives
insure	v	Actions and Roles
eq	n	Actions and Roles
pixy	n	"""P-"" Words"
morass	n	Negative and Disturbing Adjectives
salpa	n	"""S-"" Words"
agree	v	Verbs and Actions
parget	n,v	"""P-"" Words"
damask	a,n	"Items, Actions and Concepts Starting with ""D"""
nawab	n	Islamic and Middle Eastern Terms
trade	n,v	Economic and Trade Terms
viscus	n	Anatomical and Biological Terms
roe	n	"""R-"" Words and Rotational Movements"
osteal	a	Body Parts and Related Terms
benumb	v	Emotional and Physical States
graph	n,v	Actions and Roles
guama	n	Plant and Tree Species
feign	v	Gossip, Deception, and Games
sepsis	n	Medical, Insects, and Skin Conditions
wrasse	n	Animals and Animal-Related Terms
dawah	n	Islamic and Middle Eastern Terms
lxxxvi	a	Numerals and Mathematical Terms
pander	n,v	Actions and Descriptions
momma	n	Gender, Family and Greetings
noise	n,v	Personal Characteristics and Behaviors
scilla	n	Plant and Tree Species
barley	n	Food, Cooking, and Ingredients
havoc	n	Negative and Disturbing Adjectives
marang	n	Islamic and Middle Eastern Terms
impute	v	Verbs and Actions
hadal	a	"""H-"" Words"
comfit	n,v	Food, Cooking, and Ingredients
plain	a,n,v	Actions and Roles
halt	a,n,v	Actions and Roles
dented	a	"Items, Actions and Concepts Starting with ""D"""
yon	a	Gender, Family and Greetings
nippy	a	Temperature and Heat-Related Terms
heard	a	"""H-"" Words"
uproar	n	Negative and Disturbing Adjectives
ani	n	"Starting with ""A"" or ""E"""
run	n,v	"""R-"" Words and Rotational Movements"
suckle	v	Nouns and Actions
ritz	n	"""R-"" Words and Rotational Movements"
throe	n	Actions and Descriptions
yodh	n	Gender, Family and Greetings
nanny	n	Gender, Family and Greetings
pegleg	n	Body Parts and Related Terms
pond	n	"""P-"" Words"
frisky	a	Negative and Disturbing Adjectives
sext	n	Numerals and Mathematical Terms
cog	n,v	"""C-"" Words and Items"
teg	n	"""T-"" Words and Pairs"
nameko	n	Nouns and Actions
cupful	n	Negative and Disturbing Adjectives
earful	n	Negative and Disturbing Adjectives
caput	n	"""C-"" Words and Items"
sextet	n	Numerals and Mathematical Terms
tender	a,n,v	"""T-"" Words and Pairs"
hyphen	n,v	"""H-"" Words"
hm	n	Numerals and Mathematical Terms
pintle	n	"""P-"" Words"
lipoma	n	Medical, Insects, and Skin Conditions
can	n,v	"""C-"" Words and Items"
cloven	a	"""C-"" Words and Items"
bitchy	a	Occupations and Personal Descriptors
coyol	n	"""C-"" Words and Items"
blond	a,n	Lights, Colors, and Visibility
kook	n	Food, Cooking, and Ingredients
axilla	n	Weapons and Cutting Tools
izar	n	"Starting with ""A"" or ""E"""
ringed	a	"""R-"" Words and Rotational Movements"
sickle	n	Weapons and Cutting Tools
mown	a	Plant and Tree Species
soy	n	Food, Cooking, and Ingredients
stuck	a	Binding, Restraining and Undoing
induct	v	Verbs and Actions
tapis	n	"""C-"" Words and Items"
accrue	v	Verbs and Actions
sight	n,v	Actions and Roles
randy	a	Negative and Disturbing Adjectives
schorl	n	Minerals and Geology
scale	n,v	Words Related to Shapes and Textures
ground	n,v	Actions and Roles
maund	n	"""M-"" Words"
spline	n	Words Related to Shapes and Textures
edgy	a	"""B-"" Words and Objects"
nearby	a	Actions and Roles
mercy	n	Personal Characteristics and Behaviors
cafe	n	"""C-"" Words and Items"
cupper	n	Food, Cooking, and Ingredients
drypis	n	"Items, Actions and Concepts Starting with ""D"""
waking	a,n	Emotional and Physical States
eyelet	n	Body Parts and Related Terms
fringy	a	Negative and Disturbing Adjectives
gore	n,v	Negative and Disturbing Adjectives
nostoc	n	Medical, Insects, and Skin Conditions
start	n,v	Actions and Roles
lobed	a	Plant and Tree Species
heel	n,v	Verbs of Action and Change
commie	n	Occupations and Personal Descriptors
smock	n,v	Clothing, Materials and Dressing Actions
spread	a,n,v	Words Related to Shapes and Textures
bolero	n	Clothing, Materials and Dressing Actions
captor	n	Crimes, Violence and Misdeeds
hour	n	Actions and Roles
boor	n	"""B-"" Words and Objects"
stir	n,v	Verbs and Actions
duster	n	Negative and Disturbing Adjectives
gemma	n	Minerals and Geology
hewer	n	Weapons and Cutting Tools
system	n	Actions and Roles
koala	n	Animals and Animal-Related Terms
simoon	n	Temperature and Heat-Related Terms
homo	n	Gender, Family and Greetings
asking	n	Actions and Roles
aecial	a	Anatomical and Biological Terms
gens	n	Alphabets, Animals, and Games
ledge	n	"""L-"" Words"
find	n,v	Actions and Roles
big	a	Actions and Roles
beaked	a	"""B-"" Words and Objects"
pudge	n	Weight, Strength, and Body Descriptors
gip	n,v	"Words starting with ""G"""
clxv	a	Numerals and Mathematical Terms
apt	a	Actions and Roles
silty	a	Minerals and Geology
gulf	n	Gossip, Deception, and Games
mingle	v	"Words starting with ""G"""
cooper	n,v	"""C-"" Words and Items"
sop	n,v	"""S-"" Words"
trier	n	Actions and Roles
loader	n	"""L-"" Words"
iglu	n	Temperature and Heat-Related Terms
stable	a,n,v	Words Related to Shapes and Textures
evade	v	Modes of Transportation and Travel
mimeo	n,v	"""M-"" Words"
annexa	n	"Starting with ""A"" or ""E"""
vaunt	n,v	Praise and Positivity
ostomy	n	Anatomical and Biological Terms
frank	a,n,v	Negative and Disturbing Adjectives
tanga	n	"""T-"" Words and Pairs"
baryta	n	"""B-"" Words and Objects"
negus	n	Lights, Colors, and Visibility
arson	n	Crimes, Violence and Misdeeds
nihil	n	Nouns and Actions
heroin	n	Food, Cooking, and Ingredients
mite	n	"""M-"" Words"
eared	a	"Starting with ""A"" or ""E"""
chino	n	Actions and Descriptions
notice	n,v	Actions and Roles
furl	v	Binding, Restraining and Undoing
flap	n,v	Negative and Disturbing Adjectives
bettor	n	Economic and Trade Terms
donee	n	"Items, Actions and Concepts Starting with ""D"""
plasm	n	Words Related to Shapes and Textures
whet	v	Hygiene, Health, and Bodily Functions
colic	n	Anatomical and Biological Terms
bowler	n	"""B-"" Words and Objects"
bad	a,n	Actions and Roles
lots	n	Actions and Roles
cinch	n,v	Actions and Descriptions
buna	n	Islamic and Middle Eastern Terms
prolix	a	Communication and Media
wring	n,v	Binding, Restraining and Undoing
relay	n,v	"""R-"" Words and Rotational Movements"
plage	n	Words Related to Shapes and Textures
lychee	n	Plant and Tree Species
fakeer	n	Gossip, Deception, and Games
dross	n	Negative and Disturbing Adjectives
jiqui	n	Plant and Tree Species
callus	n,v	Medical, Insects, and Skin Conditions
adios	n	Gender, Family and Greetings
jennet	n	Alphabets, Animals, and Games
elate	v	Praise and Positivity
terms	n	"""T-"" Words and Pairs"
legacy	n	"""L-"" Words"
moving	a	Modes of Transportation and Travel
neat	a	Praise and Positivity
muzhik	n	Occupations and Personal Descriptors
matai	n	Plant and Tree Species
toss	n,v	Actions and Descriptions
bailey	n	"""B-"" Words and Objects"
cote	n	"""C-"" Words and Items"
backer	n	"""B-"" Words and Objects"
hookup	n	Binding, Restraining and Undoing
dyer	n	"Items, Actions and Concepts Starting with ""D"""
lurid	a	Negative and Disturbing Adjectives
roof	n,v	Places and Spaces
placer	n	Actions and Roles
road	n	Modes of Transportation and Travel
keel	n,v	Body Parts and Related Terms
making	n	Actions and Roles
cul	n	Actions and Roles
zaman	n	Islamic and Middle Eastern Terms
sable	a,n	Clothing, Materials and Dressing Actions
gloved	a	Body Parts and Related Terms
bilk	v	Crimes, Violence and Misdeeds
snack	n,v	Food, Cooking, and Ingredients
silly	a,n	Occupations and Personal Descriptors
heckle	n,v	Verbs and Actions
sudor	n	"""S-"" Words"
denier	n,n	"Items, Actions and Concepts Starting with ""D"""
soothe	v	Personal Characteristics and Behaviors
windy	a	Temperature and Heat-Related Terms
coucal	n	"""C-"" Words and Items"
danaid	n	"Items, Actions and Concepts Starting with ""D"""
seamed	a	Clothing, Materials and Dressing Actions
lot	n,v	Actions and Roles
ideate	v	Verbs and Actions
today	n	Actions and Roles
tricky	a	Personal Characteristics and Behaviors
pack	n,v	"""B-"" Words and Objects"
null	a,n	Nouns and Actions
flaunt	n,v	Praise and Positivity
ruga	n	"""R-"" Words and Rotational Movements"
cleg	n	"""C-"" Words and Items"
envy	n,v	Emotional and Physical States
napa	n	Nouns and Actions
unbend	v	"""B-"" Words and Objects"
cop	n,v	"""C-"" Words and Items"
mullet	n	Clothing, Materials and Dressing Actions
glut	n,v	Lights, Colors, and Visibility
sinus	n	Anatomical and Biological Terms
groovy	a	Praise and Positivity
mola	n	"""M-"" Words"
jorum	n	Actions and Roles
buyout	n	Economic and Trade Terms
cottar	n	"""C-"" Words and Items"
dim	a,v	Lights, Colors, and Visibility
pubic	a	Anatomical and Biological Terms
privet	n	"""P-"" Words"
gruff	a	Weight, Strength, and Body Descriptors
decker	n	"Items, Actions and Concepts Starting with ""D"""
coyote	n	"""C-"" Words and Items"
grebe	n	Animals and Animal-Related Terms
hag	n	"""H-"" Words"
annex	n,v	"Starting with ""A"" or ""E"""
chaffy	a	Actions and Descriptions
nosher	n	Nouns and Actions
envoi	n	Communication and Media
ham	n,v	"""H-"" Words"
lobar	a	Plant and Tree Species
future	a,n	Actions and Roles
tarot	n	"""T-"" Words and Pairs"
zebu	n	Alphabets, Animals, and Games
pawn	n,v	"""P-"" Words"
dolmen	n	Minerals and Geology
flurry	n,v	Negative and Disturbing Adjectives
valgus	n	Body Parts and Related Terms
pectus	n	Body Parts and Related Terms
sough	v	"""B-"" Words and Objects"
clunky	a	Negative and Disturbing Adjectives
peludo	n	Clothing, Materials and Dressing Actions
thresh	v	Actions and Descriptions
lac	n	"""L-"" Words"
kishke	n	Food, Cooking, and Ingredients
early	a	Actions and Roles
gleba	n	Plant and Tree Species
whole	a,n	Actions and Roles
cuisse	n	Body Parts and Related Terms
enlace	v	Binding, Restraining and Undoing
clusia	n	"""C-"" Words and Items"
kenaf	n	Clothing, Materials and Dressing Actions
ago	a	"Words starting with ""G"""
calkin	n	"""C-"" Words and Items"
wen	n	Actions and Descriptions
cirque	n	Places and Spaces
tendon	n	"""T-"" Words and Pairs"
squire	n,v	Occupations and Personal Descriptors
feisty	a	Fast-Paced and Intense Activities and States
tolu	n	"""T-"" Words and Pairs"
famish	v	Emotional and Physical States
crazed	a	Negative and Disturbing Adjectives
dieter	n	Food, Cooking, and Ingredients
lappet	n	Plant and Tree Species
oka	n	"""O-"" Words"
ghee	n	Lights, Colors, and Visibility
reword	v	Verbs of Action and Change
skibob	n	Modes of Transportation and Travel
gash	n,v	"Words starting with ""G"""
moody	a	"""M-"" Words"
spying	n	Actions and Roles
twerk	v	"""T-"" Words and Pairs"
wimp	n	Occupations and Personal Descriptors
tag	n,v	Actions and Roles
sawm	n	Weapons and Cutting Tools
twain	n	"""T-"" Words and Pairs"
chewy	a	Nouns and Actions
keloid	n	Medical, Insects, and Skin Conditions
frolic	n,v	Actions and Descriptions
syphon	n,v	Words Related to Shapes and Textures
labor	n,v	Actions and Roles
mantic	a	"""M-"" Words"
deputy	n	"Items, Actions and Concepts Starting with ""D"""
dink	n	"Items, Actions and Concepts Starting with ""D"""
dandy	a,n	Praise and Positivity
so	n	Actions and Roles
amends	n	Actions and Roles
bespot	v	"""B-"" Words and Objects"
recode	v	Verbs of Action and Change
cousin	n	Gender, Family and Greetings
djinni	n	Alphabets, Animals, and Games
glebe	n	Plant and Tree Species
secern	v	"""S-"" Words"
ferret	n,v	Negative and Disturbing Adjectives
foetal	a	Anatomical and Biological Terms
nutter	n	Nouns and Actions
peck	n,v	"""P-"" Words"
timid	a,n	Personal Characteristics and Behaviors
peewee	n	Actions and Descriptions
genu	n	Body Parts and Related Terms
window	n	Actions and Roles
slain	a,n	Words Related to Shapes and Textures
clank	n,v	"""C-"" Words and Items"
woozy	a	Negative and Disturbing Adjectives
moppet	n	"""M-"" Words"
sabra	n	Food, Cooking, and Ingredients
thane	n	"""T-"" Words and Pairs"
barb	n,v	"""B-"" Words and Objects"
crummy	a	Negative and Disturbing Adjectives
aside	n	"""B-"" Words and Objects"
radial	a,n	"""R-"" Words and Rotational Movements"
cohoe	n	"""C-"" Words and Items"
harpy	n	"""H-"" Words"
vet	n,v	Actions and Roles
tither	n	Economic and Trade Terms
aching	a,n	Actions and Roles
banns	n	"""B-"" Words and Objects"
deb	n	"Items, Actions and Concepts Starting with ""D"""
beacon	n,v	Lights, Colors, and Visibility
lander	n	"""L-"" Words"
evince	v	Verbs and Actions
proud	a	Praise and Positivity
outdo	v	Verbs and Actions
pilfer	v	Crimes, Violence and Misdeeds
taut	a	"""T-"" Words and Pairs"
ship	n,v	Places and Spaces
seeing	a,n	Actions and Roles
gap	n,v	Actions and Roles
ease	n,v	Personal Characteristics and Behaviors
burgle	v	Crimes, Violence and Misdeeds
flaxen	a	Clothing, Materials and Dressing Actions
pi	n	"""P-"" Words"
plague	n,v	Medical, Insects, and Skin Conditions
unload	v	"""L-"" Words"
line	n,v	Actions and Roles
day	n	Actions and Roles
heroic	a,n	Praise and Positivity
mash	n,v	"""M-"" Words"
pyrope	n	Minerals and Geology
barrel	n,v	"""B-"" Words and Objects"
seaway	n	Modes of Transportation and Travel
nacho	n	Food, Cooking, and Ingredients
fugal	a	Negative and Disturbing Adjectives
degras	n	"Items, Actions and Concepts Starting with ""D"""
mousy	a	Animals and Animal-Related Terms
jerk	n,v	Occupations and Personal Descriptors
pedal	a,n,v	Modes of Transportation and Travel
menses	n	Anatomical and Biological Terms
weapon	n	Actions and Roles
trill	n,v	Actions and Descriptions
phyllo	n	Food, Cooking, and Ingredients
manful	a	Weight, Strength, and Body Descriptors
faddy	a	Negative and Disturbing Adjectives
slash	n,v	Words Related to Shapes and Textures
loony	a,n	Negative and Disturbing Adjectives
mole	n,n	"""M-"" Words"
pastil	n	Food, Cooking, and Ingredients
bran	n	"""B-"" Words and Objects"
weekly	a,n	Actions and Roles
wheat	n	Food, Cooking, and Ingredients
depart	v	Modes of Transportation and Travel
asker	n	"Starting with ""A"" or ""E"""
needed	a	Emotional and Physical States
grab	n,v	"""C-"" Words and Items"
smutch	v	Negative and Disturbing Adjectives
okra	n	Food, Cooking, and Ingredients
womb	n	Anatomical and Biological Terms
jockey	n,v	Actions and Descriptions
para	n	"""P-"" Words"
jangly	a	Actions and Descriptions
brolly	n	"Words starting with ""G"""
fork	n,v	"""P-"" Words"
shaky	a	Negative and Disturbing Adjectives
dioxin	n	Chemical Compounds and Reactions
behest	n	"""B-"" Words and Objects"
unbolt	v	"""B-"" Words and Objects"
bier	n	Food, Cooking, and Ingredients
monish	v	"""M-"" Words"
potter	n,v	"""P-"" Words"
hummer	n	Modes of Transportation and Travel
jemmy	n	Alphabets, Animals, and Games
grappa	n	"Words starting with ""G"""
riming	a	"""R-"" Words and Rotational Movements"
evolve	v	Actions and Roles
unable	a	Actions and Roles
curio	n	"""C-"" Words and Items"
belong	v	Verbs of Action and Change
veiled	a	Clothing, Materials and Dressing Actions
void	a,n,v	Nouns and Actions
parole	n,v	"""P-"" Words"
larva	n	Medical, Insects, and Skin Conditions
lanseh	n	"""L-"" Words"
cute	a	Praise and Positivity
pain	n,v	Emotional and Physical States
gown	n,v	Clothing, Materials and Dressing Actions
bloc	n	"""B-"" Words and Objects"
grow	v	Actions and Roles
mummy	n	Gender, Family and Greetings
milium	n	"""M-"" Words"
doings	n	Actions and Roles
layer	n,v	Actions and Roles
plate	n,v	Words Related to Shapes and Textures
zaftig	a	Weight, Strength, and Body Descriptors
hind	a,n	"""H-"" Words"
ping	n,v	Alphabets, Animals, and Games
ginep	n	Alphabets, Animals, and Games
outgo	n,v	Economic and Trade Terms
laugh	n,v	Actions and Descriptions
omasum	n	Anatomical and Biological Terms
lxxvi	a	Numerals and Mathematical Terms
smile	n,v	Actions and Descriptions
pruner	n	"""P-"" Words"
damage	n,v	Crimes, Violence and Misdeeds
loud	a	Personal Characteristics and Behaviors
pupal	a	Medical, Insects, and Skin Conditions
wasted	a	Negative and Disturbing Adjectives
burred	a	"""B-"" Words and Objects"
ebb	n,v	"Starting with ""A"" or ""E"""
liana	n	Animals and Animal-Related Terms
wapiti	n	Animals and Animal-Related Terms
player	n	Gossip, Deception, and Games
barge	n,v	"""B-"" Words and Objects"
divers	a	Places and Spaces
tonic	a,n	"""T-"" Words and Pairs"
strife	n	Negative and Disturbing Adjectives
kafir	n	Islamic and Middle Eastern Terms
dingy	a	Places and Spaces
pardon	n,v	Verbs and Actions
purl	n,v	Clothing, Materials and Dressing Actions
briny	a,n	Chemical Compounds and Reactions
bosky	a	Plant and Tree Species
stoker	n	Words Related to Shapes and Textures
gilt	a,n	Praise and Positivity
ulcer	n	Medical, Insects, and Skin Conditions
abyss	n	Places and Spaces
romp	n,v	Actions and Descriptions
record	n,v	Actions and Roles
etna	n	"Starting with ""A"" or ""E"""
mauler	n	"""M-"" Words"
soda	n	"""C-"" Words and Items"
coarse	a	"Words starting with ""G"""
perk	n,v	"""P-"" Words"
pya	n	Alphabets, Animals, and Games
dank	a	Actions and Roles
niece	n	Gender, Family and Greetings
cypher	n,v	Actions and Roles
tousle	v	Negative and Disturbing Adjectives
shnorr	v	Actions and Descriptions
rotor	n	"""R-"" Words and Rotational Movements"
metier	n	Actions and Roles
l	a,n	Numerals and Mathematical Terms
outing	n	Actions and Roles
bovid	a,n	Animals and Animal-Related Terms
hipped	a	"""H-"" Words"
trilby	n	"""C-"" Words and Items"
tussur	n	"""T-"" Words and Pairs"
gasman	n	"Words starting with ""G"""
mayor	n	Occupations and Personal Descriptors
terce	n	"""T-"" Words and Pairs"
droll	a	Hygiene, Health, and Bodily Functions
telfer	n	"""T-"" Words and Pairs"
parous	a	"""P-"" Words"
tenrec	n	Animals and Animal-Related Terms
toothy	a	Anatomical and Biological Terms
follow	v	Actions and Roles
nard	n	Nouns and Actions
tubule	n	"""T-"" Words and Pairs"
goer	n	Occupations and Personal Descriptors
clevis	n	"""C-"" Words and Items"
huff	n,v	Negative and Disturbing Adjectives
glossa	n	Lights, Colors, and Visibility
sooty	a	Negative and Disturbing Adjectives
wickup	n	"""T-"" Words and Pairs"
bawler	n	Actions and Descriptions
lake	n	Places and Spaces
dory	n	"""M-"" Words"
assets	n	Actions and Roles
degust	v	Food, Cooking, and Ingredients
must	a,n	Praise and Positivity
tongs	n	"""T-"" Words and Pairs"
syrupy	a	Food, Cooking, and Ingredients
jean	n	Clothing, Materials and Dressing Actions
sleaze	n	Negative and Disturbing Adjectives
rigid	a	Weight, Strength, and Body Descriptors
loment	n	"""L-"" Words"
eats	n	Food, Cooking, and Ingredients
leaper	n	"""B-"" Words and Objects"
triune	a	"""T-"" Words and Pairs"
cubeb	n	"""C-"" Words and Items"
mass	a,n,v	"""M-"" Words"
troy	n	"""T-"" Words and Pairs"
bite	n,v	Nouns and Actions
ape	n,v	Actions and Roles
hub	n	"""B-"" Words and Objects"
boiler	n	Food, Cooking, and Ingredients
bisque	n	"""S-"" Words"
soapy	a	Negative and Disturbing Adjectives
glance	n,v	Lights, Colors, and Visibility
defend	v	Verbs and Actions
sugary	a	Food, Cooking, and Ingredients
based	a	Actions and Roles
header	n	Actions and Roles
sunken	a	Places and Spaces
booty	n	"""B-"" Words and Objects"
croak	n,v	"""C-"" Words and Items"
nudge	n,v	Nouns and Actions
biface	a	"""T-"" Words and Pairs"
melt	n,v	Temperature and Heat-Related Terms
draper	n	Clothing, Materials and Dressing Actions
pika	n	"""P-"" Words"
landau	n	"""L-"" Words"
behalf	n	"""B-"" Words and Objects"
recoil	n,v	Verbs of Action and Change
ratite	n	"""R-"" Words and Rotational Movements"
frap	v	Negative and Disturbing Adjectives
fetus	n	Anatomical and Biological Terms
unzip	v	Alphabets, Animals, and Games
sequin	n	Actions and Descriptions
reborn	a	Verbs of Action and Change
wallah	n	Actions and Descriptions
pasta	n	Food, Cooking, and Ingredients
xix	a	Numerals and Mathematical Terms
burked	a	"""B-"" Words and Objects"
buhl	n	"""B-"" Words and Objects"
girdle	n,v	Body Parts and Related Terms
rugger	n	Gossip, Deception, and Games
hostel	n	Places and Spaces
cavy	n	Animals and Animal-Related Terms
monger	n,v	Economic and Trade Terms
neuron	n	Anatomical and Biological Terms
parvis	n	"""P-"" Words"
kegful	n	Food, Cooking, and Ingredients
legate	n	"""L-"" Words"
lure	n,v	Verbs and Actions
sass	n,v	"""S-"" Words"
scrim	n	Words Related to Shapes and Textures
torso	n	Body Parts and Related Terms
date	n,v	Actions and Roles
wisdom	n	Personal Characteristics and Behaviors
durian	n	"Items, Actions and Concepts Starting with ""D"""
maltha	n	"""M-"" Words"
poof	n	Negative and Disturbing Adjectives
silken	a	Clothing, Materials and Dressing Actions
varix	n	Anatomical and Biological Terms
berk	n	"""B-"" Words and Objects"
meeter	n	"""M-"" Words"
corp	n	"""C-"" Words and Items"
grape	n	"Words starting with ""G"""
mescal	n	Plant and Tree Species
mid	a	"""M-"" Words"
caliph	n	Islamic and Middle Eastern Terms
shake	n,v	Negative and Disturbing Adjectives
wool	n	Clothing, Materials and Dressing Actions
degas	v	"Items, Actions and Concepts Starting with ""D"""
phobia	n	Negative and Disturbing Adjectives
porous	a	Places and Spaces
garlic	n	Food, Cooking, and Ingredients
audad	n	Animals and Animal-Related Terms
tamper	n,v	"""T-"" Words and Pairs"
saint	n,v	Occupations and Personal Descriptors
jugale	n	Actions and Roles
bulla	n	"""B-"" Words and Objects"
zoril	n	"""M-"" Words"
beam	n,v	Lights, Colors, and Visibility
lily	n	Plant and Tree Species
bully	a,n,v	Crimes, Violence and Misdeeds
citric	a	Food, Cooking, and Ingredients
rhino	n	"""R-"" Words and Rotational Movements"
papaw	n	"""P-"" Words"
allege	v	Verbs and Actions
reside	v	Verbs of Action and Change
brace	n,v	"""B-"" Words and Objects"
cozen	v	Actions and Descriptions
quicky	n	Fast-Paced and Intense Activities and States
inept	a	Personal Characteristics and Behaviors
nylons	n	Clothing, Materials and Dressing Actions
paunch	n	Body Parts and Related Terms
solan	n	"""S-"" Words"
pager	n	Actions and Roles
mudcat	n	Negative and Disturbing Adjectives
raddle	n,v	"""R-"" Words and Rotational Movements"
qintar	n	Actions and Descriptions
antler	n	Animals and Animal-Related Terms
embark	v	Modes of Transportation and Travel
drachm	n	"Items, Actions and Concepts Starting with ""D"""
broil	n,v	Food, Cooking, and Ingredients
mutate	v	"""M-"" Words"
maiger	n	Praise and Positivity
togs	n	Clothing, Materials and Dressing Actions
plebe	n	"""P-"" Words"
biaxal	a	"""T-"" Words and Pairs"
drip	n,v	Hygiene, Health, and Bodily Functions
arctic	a,n	Temperature and Heat-Related Terms
edit	v	Actions and Roles
tuille	n	"""T-"" Words and Pairs"
trace	n,v	Words Related to Shapes and Textures
saran	n	"""S-"" Words"
concur	v	Verbs and Actions
plushy	a	Negative and Disturbing Adjectives
beef	n,v	Weight, Strength, and Body Descriptors
pewter	n	Lights, Colors, and Visibility
gannet	n	Animals and Animal-Related Terms
ripper	n	"""R-"" Words and Rotational Movements"
smog	n	Negative and Disturbing Adjectives
sisham	n	Actions and Descriptions
banal	a	Personal Characteristics and Behaviors
united	a	Actions and Roles
stash	n,v	Words Related to Shapes and Textures
enact	v	Verbs and Actions
popgun	n	Weapons and Cutting Tools
zed	n	Alphabets, Animals, and Games
sinter	v	Temperature and Heat-Related Terms
obtund	v	Emotional and Physical States
blood	n,v	Lights, Colors, and Visibility
chad	n	Actions and Descriptions
pink	a,n,v	Lights, Colors, and Visibility
baboo	n	Animals and Animal-Related Terms
bleat	n,v	Actions and Descriptions
muff	n,v	"""M-"" Words"
regent	a,n	Occupations and Personal Descriptors
aegir	n	"Starting with ""A"" or ""E"""
privy	a,n	"""P-"" Words"
fryer	n	Food, Cooking, and Ingredients
toy	n,v	"""T-"" Words and Pairs"
revile	v	Verbs and Actions
donkey	n	Animals and Animal-Related Terms
fakery	n	Gossip, Deception, and Games
cheque	n,v	Actions and Descriptions
punks	n	"""P-"" Words"
nyala	n	Animals and Animal-Related Terms
matric	n	"""M-"" Words"
dude	n	Gender, Family and Greetings
cheer	n,v	Actions and Descriptions
tonus	n	"""T-"" Words and Pairs"
sedan	n	Modes of Transportation and Travel
bleb	n	Lights, Colors, and Visibility
gentry	n	Praise and Positivity
thorn	n	Plant and Tree Species
coding	n	Actions and Roles
parrot	n,v	Animals and Animal-Related Terms
ex	a,n	Actions and Roles
legume	n	Food, Cooking, and Ingredients
bended	a	"""B-"" Words and Objects"
unnie	n	Gender, Family and Greetings
benday	v	"""B-"" Words and Objects"
swank	a,n,v	Praise and Positivity
thrush	n	Medical, Insects, and Skin Conditions
engobe	n	"Starting with ""A"" or ""E"""
orzo	n	Food, Cooking, and Ingredients
tin	n,v	"""T-"" Words and Pairs"
